Property Name,Rent Prices,Room size,Floor,Date
The Stage Taopoon Interchange,8500,27,21-30,2023-09-24 12:01:00
Atmoz Chaengwattana,10000,29,1-10,2023-09-24 12:01:00
U Delight @Talat phlu Station,10000,31,1-10,2023-09-24 12:01:00
The Muve Bangkhae,8800,25,1-10,2023-09-24 12:01:00
U Delight 3 Prachachuen - Bang Sue,9500,30,11-20,2023-09-24 12:01:00
THE LINE Wongsawang,9500,32,1-10,2023-09-24 12:01:00
Brix Condominium,13000,28,21-30,2023-09-24 12:01:00
U Delight 2 @ Bang Sue Station,7500,27,21-30,2023-09-24 12:01:00
Lumpini Ville Prachachuen - Phongphet,8000,32.5,11-20,2023-09-24 12:01:00
Chapter One Shine Bangpo,12000,29,11-20,2023-09-24 12:01:00
ONEDER Kaset,11000,24,1-10,2023-09-24 12:01:00
Niche Mono Ratchavipha,9000,30,1-10,2023-09-24 12:01:00
The President Sathorn - Ratchaphruek 2,9500,30,11-20,2023-09-24 12:01:00
Casa Condo Ratchada - Thapra,9000,26,1-10,2023-09-24 12:01:00
JW Condo,8000,28,1-10,2023-09-24 12:01:00
Fuse Sense' Bangkae,8000,27,11-20,2023-09-24 12:01:00
U Delight @Talat phlu Station,9900,30.4,1-10,2023-09-24 12:01:00
B Campus,8000,27,1-10,2023-09-24 12:01:00
Unio Charan 3,7000,28,1-10,2023-09-24 12:01:00
Metro Sky Bangsue - Prachachuen,8500,28,11-20,2023-09-24 12:01:00
Aspire Ngamwongwan,9500,28,1-10,2023-09-24 12:01:00
Happy Condo Ladprao 101,7000,28,1-10,2023-09-24 12:01:00
Grene Chaengwattana,8000,33,11-20,2023-09-24 12:01:00
Metro Sky Bangsue - Prachachuen,16000,38,11-20,2023-09-24 12:01:00
Brix Condominium,12000,25,21-30,2023-09-24 12:01:00
Chewathai Kaset - Nawamin,13500,28,11-20,2023-09-24 12:01:00
ONEDER Kaset,12500,28,1-10,2023-09-24 12:01:00
The Tree Interchange,12000,36,31-40,2023-09-24 12:01:00
Feel Condo Lat Phrao 122,7700,23.5,1-10,2023-09-24 12:01:00
Wish Signature  Midtown Siam,23000,33,11-20,2023-09-24 12:01:00
THE BASE Saphanmai,14000,28,1-10,2023-09-24 12:01:00
Condolette Midst Rama 9,17000,29,11-20,2023-09-24 12:01:00
Onyx Phaholyothin,18000,40,1-10,2023-09-24 12:01:00
WYNE Sukhumvit,17000,35,11-20,2023-09-24 12:01:00
IDEO Chula - Samyan,23000,28.5,11-20,2023-09-24 12:01:00
Noble Revolve Ratchada 2,13000,22,41-50,2023-09-24 12:01:00
Niche Pride Thonglor-Phetchaburi,20000,35.4,1-10,2023-09-24 12:01:00
M Jatujak,17500,29,11-20,2023-09-24 12:01:00
Regent Home Sukhumvit 81,9000,28,1-10,2023-09-24 12:01:00
Aspire Sathorn - Ratchapruek,20000,49,1-10,2023-09-24 12:01:00
NOBLE STATE 39,28000,29.9,11-20,2023-09-24 12:01:00
Grand Park View,50000,120,1-10,2023-09-24 12:01:00
IKON Sukhumvit 77,15500,31.5,1-10,2023-09-24 12:01:00
PG Rama IX,13000,30,1-10,2023-09-24 12:01:00
Aspire Asoke - Ratchada,12000,25,1-10,2023-09-24 12:01:00
The Room Sathorn - TanonPun,50000,78,11-20,2023-09-24 12:01:00
S.V. City Rama 3,10000,47,11-20,2023-09-24 12:01:00
15 Sukhumvit Residences,65000,137,21-30,2023-09-24 12:01:00
IDEO Chula - Samyan,23000,28.5,11-20,2023-09-24 12:01:00
Regent Home Sukhumvit 81,11000,28,1-10,2023-09-24 12:01:00
The Light New York,15000,42,1-10,2023-09-24 12:01:00
THE ORIGIN ONNUT,10000,22,1-10,2023-09-24 12:01:00
Nye by Sansiri,40000,65.5,11-20,2023-09-24 12:01:00
Park 24,22000,30,21-30,2023-09-24 12:01:00
Regent Home Sukhumvit 97/1,9800,28,1-10,2023-09-24 12:01:00
IDEO New Rama 9,11000,26,1-10,2023-09-24 12:01:00
The Tree Interchange,10500,36,1-10,2023-09-24 12:01:00
Siri at Sukhumvit,68000,74,1-10,2023-09-24 12:01:00
Casa Condo Ratchada - Thapra,12000,37,21-30,2023-09-24 12:01:00
Niche Pride Thonglor-Phetchaburi,18000,35,11-20,2023-09-24 12:01:00
Chapter One Midtown Ladprao 24,16500,30,11-20,2023-09-24 12:01:00
Magnolias Waterfront Residences,85000,80,21-30,2023-09-24 12:01:00
Le Nice Ekamai,35000,67,1-10,2023-09-24 12:01:00
The Base Rama 9 - Ramkhamhaeng,10000,26,11-20,2023-09-24 12:01:00
Park 24,32000,40,11-20,2023-09-24 12:01:00
Menam Residences,35000,63,11-20,2023-09-24 12:01:00
Ashton Asoke - Rama 9,60000,68.5,21-30,2023-09-24 12:01:00
Lumpini Park Nawamin - Si Burapha,6000,23,11-20,2023-09-24 12:01:00
Life Ladprao Valley,21500,35,31-40,2023-09-24 12:01:00
THE ESSE Sukhumvit 36,55000,38.5,11-20,2023-09-24 12:01:00
Supalai Veranda Ramkhamhaeng,12000,30,1-10,2023-09-24 12:01:00
One9Five Asoke - Rama 9,28000,38,51-60,2023-09-24 12:01:00
One9Five Asoke - Rama 9,25000,43,11-20,2023-09-24 12:01:00
The Monument Thonglor,140000,125.2,1-10,2023-09-24 12:01:00
Niche Pride Thonglor-Phetchaburi,15000,35,31-40,2023-09-24 12:01:00
H Sukhumvit 43,32000,41,21-30,2023-09-24 12:01:00
Niche Pride Thonglor-Phetchaburi,55000,96,21-30,2023-09-24 12:01:00
PARK ORIGIN RATCHATHEWI,40000,47,21-30,2023-09-24 12:01:00
A Space Me Sukhumvit 77,8000,28.5,1-10,2023-09-24 12:01:00
The Crest Sukhumvit 34,40000,55,11-20,2023-09-24 12:01:00
Conner Ratchathewi,68000,73,21-30,2023-09-24 12:01:00
OKA HAUS Sukhumvit 36,20000,35,11-20,2023-09-24 12:01:00
The Bangkok Sathon,65000,64.5,31-40,2023-09-24 12:01:00
Whizdom Essence Sukhumvit,30000,55,1-10,2023-09-24 12:01:00
The Lofts Asoke,48000,49.2,1-10,2023-09-24 12:01:00
Chambers On Nut Station,15000,27,1-10,2023-09-24 12:01:00
THE BASE Phetchaburi - Thonglor,17000,30,21-30,2023-09-24 12:01:00
KHUN by YOO inspired by Starck,65000,49,21-30,2023-09-24 12:01:00
THE BASE Phetchaburi - Thonglor,16000,28,31-40,2023-09-24 12:01:00
Rhythm Sukhumvit 36 - 38,23000,34,1-10,2023-09-24 12:01:00
Life Asoke - Rama 9,18000,33,21-30,2023-09-24 12:01:00
PARK ORIGIN PHROM PHONG,21000,30,1-10,2023-09-24 12:01:00
39 Suite,22000,60,1-10,2023-09-24 12:01:00
Metro Luxe Ratchada,16500,36,1-10,2023-09-24 12:01:00
The Reserve Sukhumvit 61,65000,60,1-10,2023-09-24 12:01:00
One9Five Asoke - Rama 9,48000,58,21-30,2023-09-24 12:01:00
Chewathai Residence Asoke,25000,39,11-20,2023-09-24 12:01:00
Le Nice Ekamai,35000,50,1-10,2023-09-24 12:01:00
Ashton Asoke,29000,31,21-30,2023-09-24 12:01:00
Thru Thonglor,28000,62,21-30,2023-09-24 12:01:00
KHUN by YOO inspired by Starck,65000,49,11-20,2023-09-24 12:01:00
T.C. Green,16000,38,11-20,2023-09-24 12:01:00
IDEO Mobi Rama 9,30000,54,11-20,2023-09-24 12:01:00
Omni Tower,36000,80,11-20,2023-09-24 12:01:00
CLOUD Thonglor - Phetchaburi,17000,24.5,31-40,2023-09-24 12:01:00
The Crest Sukhumvit 34,18000,34,1-10,2023-09-24 12:01:00
The Strand Thonglor,75000,53.5,11-20,2023-09-24 12:01:00
Life One Wireless,50000,63,21-30,2023-09-24 12:01:00
IDEO Q Sukhumvit 36,42000,50,11-20,2023-09-24 12:01:00
Beatniq Sukhumvit 32,130000,107.6,21-30,2023-09-24 12:01:00
Rhythm Sukhumvit 36 - 38,20000,34,11-20,2023-09-24 12:01:00
Ashton Asoke,65000,65,11-20,2023-09-24 12:01:00
Aguston Sukhumvit 22,85000,138,11-20,2023-09-24 12:01:00
KHUN by YOO inspired by Starck,65000,48.8,1-10,2023-09-24 12:01:00
KAWA HAUS,21000,37.3,1-10,2023-09-24 12:01:00
Life Sukhumvit 48,25000,48,1-10,2023-09-24 12:01:00
Keyne,25000,37,21-30,2023-09-24 12:01:00
Life Asoke Hype,18500,33,31-40,2023-09-24 12:01:00
The Coast Condominium,75000,139,11-20,2023-09-24 12:01:00
Keyne,50000,75,1-10,2023-09-24 12:01:00
Life Sukhumvit 48,22000,39,1-10,2023-09-24 12:01:00
Knightsbridge Prime Onnut,15000,22.5,11-20,2023-09-24 12:01:00
Siamese Exclusive Sukhumvit 42,38000,52,11-20,2023-09-24 12:01:00
Life Asoke Hype,26000,35,21-30,2023-09-24 12:01:00
Lumpini Suite Phetchaburi - Makkasan,14000,27,21-30,2023-09-24 12:01:00
Metro Luxe Ratchada,18000,36,1-10,2023-09-24 12:01:00
Rhythm  Ratchada,18000,46.5,21-30,2023-09-24 12:01:00
Knightsbridge Collage Ramkhamhaeng,23000,43,1-10,2023-09-24 12:01:00
Ashton Asoke - Rama 9,40200,47,41-50,2023-09-24 12:01:00
H Sukhumvit 43,28000,39,11-20,2023-09-24 12:01:00
Aspire Sukhumvit - Onnut,15000,36,1-10,2023-09-24 12:01:00
HQ Thonglor,42000,50,11-20,2023-09-24 12:01:00
Noble BE 19,25000,34.2,1-10,2023-09-24 12:01:00
Thru Thonglor,29000,67,11-20,2023-09-24 12:01:00
Klass Silom,20000,33,1-10,2023-09-24 12:01:00
Aspire Asoke - Ratchada,12000,24,1-10,2023-09-24 12:01:00
Life Sukhumvit 48,20000,32.3,11-20,2023-09-24 12:01:00
The Capital Ekamai - Thonglor,18000,36,1-10,2023-09-24 12:01:00
Rhythm  Ratchada,28000,70,1-10,2023-09-24 12:01:00
WYNE Sukhumvit,26000,43,21-30,2023-09-24 12:01:00
The Reserve 61 Hideaway,100000,108,1-10,2023-09-24 12:01:00
Noble Ploenchit,40000,45,11-20,2023-09-24 12:01:00
MARU EKKAMAI 2,48000,60,11-20,2023-09-24 12:01:00
Atrium Phahol - Suthisarn,9500,31,1-10,2023-09-24 12:01:00
Elio Del Ray,12000,34,1-10,2023-09-24 12:01:00
Life Ladprao Valley,23000,35,31-40,2023-09-24 12:01:00
Life Asoke Hype,28000,48,21-30,2023-09-24 12:01:00
Life Sukhumvit 48,18000,40,11-20,2023-09-24 12:01:00
PARK ORIGIN THONGLOR,29000,34,1-10,2023-09-24 12:01:00
The Base Garden Rama 9,25000,54,21-30,2023-09-24 12:01:00
PARK ORIGIN THONGLOR,66000,66.6,31-40,2023-09-24 12:01:00
Keyne,48000,53,1-10,2023-09-24 12:01:00
Niche Mono Ramkhamhaeng,12500,28.9,11-20,2023-09-24 12:01:00
XT HUAIKWANG,17000,28.1,1-10,2023-09-24 12:01:00
IDEO Mobi Sukhumvit 66,52000,80.5,11-20,2023-09-24 12:01:00
Noble Recole,25000,35,1-10,2023-09-24 12:01:00
LAVIQ Sukhumvit 57,85000,86,11-20,2023-09-24 12:01:00
LAVIQ Sukhumvit 57,45000,44.5,1-10,2023-09-24 12:01:00
IDEO Mobi Asoke,40000,56.4,21-30,2023-09-24 12:01:00
Life Sukhumvit 48,17000,34,21-30,2023-09-24 12:01:00
Supalai Veranda Ramkhamhaeng,14000,35,1-10,2023-09-24 12:01:00
THE LINE Sukhumvit 101,22500,33,31-40,2023-09-24 12:01:00
Siri Sathorn Residence,75000,105.7,11-20,2023-09-24 12:01:00
MARQUE Sukhumvit,170000,135,11-20,2023-09-24 12:01:00
The Privacy Rama 9,12000,23.5,11-20,2023-09-24 12:01:00
Fynn Aree,24000,32.5,1-10,2023-09-24 12:01:00
The Base Rama 9 - Ramkhamhaeng,13500,34.5,11-20,2023-09-24 12:01:00
Bright Sukhumvit 24,60000,88,11-20,2023-09-24 12:01:00
Life One Wireless,40000,45,11-20,2023-09-24 12:01:00
THE LINE Jatujak - Mochit,20000,32.2,31-40,2023-09-24 12:01:00
IDEO Q Victory,22000,29,31-40,2023-09-24 12:01:00
Hi Sukhumvit 93,9500,29,1-10,2023-09-24 12:01:00
Noble BE 19,27000,35,1-10,2023-09-24 12:01:00
The Nest Chula - Samyan,21000,27.6,1-10,2023-09-24 12:01:00
IDEO Mobi Sukhumvit,45000,60,1-10,2023-09-24 12:01:00
Lumpini Place Ratchada - Sathu,39000,65,31-40,2023-09-24 12:01:00
The Alcove 49,40000,70,1-10,2023-09-24 12:01:00
The ESSE Asoke,50000,48,31-40,2023-09-24 12:01:00
The Excel Groove,9000,29,1-10,2023-09-24 12:01:00
Tree Condo LUXE Sukhumvit 52,21000,48,1-10,2023-09-24 12:01:00
The Signature by URBANO,33000,56,21-30,2023-09-24 12:01:00
Hyde Sukhumvit,30000,46,11-20,2023-09-24 12:01:00
Knightsbridge Prime Sathorn,44000,59,31-40,2023-09-24 12:01:00
Liv@49,50000,50,1-10,2023-09-24 12:01:00
Le Luk,25000,47,21-30,2023-09-24 12:01:00
Liv@49,49000,70,1-10,2023-09-24 12:01:00
Tidy Thonglor,20000,41,1-10,2023-09-24 12:01:00
IDEO Q Ratchathewi,21000,34,21-30,2023-09-24 12:01:00
The Waterford Park Sukhumvit 53,42000,139.9,21-30,2023-09-24 12:01:00
The Address Sukhumvit 42,25000,45,1-10,2023-09-24 12:01:00
Siamese Gioia,21500,43,1-10,2023-09-24 12:01:00
The Nest Ploenchit,20000,37,1-10,2023-09-24 12:01:00
Quattro by Sansiri,45000,54.6,11-20,2023-09-24 12:01:00
The Reserve Sukhumvit 61,35000,36.2,1-10,2023-09-24 12:01:00
PARK ORIGIN PHAYATHAI,50000,48,1-10,2023-09-24 12:01:00
The Room Sukhumvit 69,30000,45,21-30,2023-09-24 12:01:00
Hive Sukhumvit 65,15300,39.5,1-10,2023-09-24 12:01:00
Rhythm Sukhumvit 50,40000,66,11-20,2023-09-24 12:01:00
Siamese Gioia,22000,43,1-10,2023-09-24 12:01:00
Chapter Charoennakhon - Riverside,55000,49,11-20,2023-09-24 12:01:00
Na Vara Residence,34000,39.7,1-10,2023-09-24 12:01:00
Richmond Palace,50000,143,11-20,2023-09-24 12:01:00
Mori Haus,20000,35.8,1-10,2023-09-24 12:01:00
Noble Ploenchit,40000,52,11-20,2023-09-24 12:01:00
Rhythm Sukhumvit 44/1,25000,45.2,1-10,2023-09-24 12:01:00
The Crest Sukhumvit 34,31000,45,11-20,2023-09-24 12:01:00
Supalai Veranda Rama 9,17000,38.5,1-10,2023-09-24 12:01:00
Plus 38 Hip,22000,50,1-10,2023-09-24 12:01:00
Noble BE 33,55000,60,11-20,2023-09-24 12:01:00
WYNE Sukhumvit,23000,42,1-10,2023-09-24 12:01:00
Wish Signature  Midtown Siam,23500,35,21-30,2023-09-24 12:01:00
Quattro by Sansiri,42000,55,1-10,2023-09-24 12:01:00
28 Chidlom,40000,38,1-10,2023-09-24 12:01:00
Beatniq Sukhumvit 32,50000,44,21-30,2023-09-24 12:01:00
The Signature by URBANO,28000,49,11-20,2023-09-24 12:01:00
Diamond Tower,27000,77,11-20,2023-09-24 12:01:00
WYNE Sukhumvit,23000,40.1,21-30,2023-09-24 12:01:00
The ESSE Asoke,34000,37,11-20,2023-09-24 12:01:00
Aspire Sukhumvit 48,14000,33,1-10,2023-09-24 12:01:00
Sari by Sansiri,25000,66.5,1-10,2023-09-24 12:01:00
The Grand Regent,25000,64,11-20,2023-09-24 12:01:00
Baan Suanpetch,50000,135,1-10,2023-09-24 12:01:00
PARK ORIGIN PHAYATHAI,30000,29.4,21-30,2023-09-24 12:01:00
39 by Sansiri,60000,77,31-40,2023-09-24 12:01:00
28 Chidlom,45000,34.5,1-10,2023-09-24 12:01:00
IDEO O2,25000,47,11-20,2023-09-24 12:01:00
Life @ Sukhumvit 65,15000,32,1-10,2023-09-24 12:01:00
Park 24,55000,56,41-50,2023-09-24 12:01:00
Tree Condo LUXE Sukhumvit 52,23000,43,1-10,2023-09-24 12:01:00
Rhythm Sukhumvit 50,40000,65,31-40,2023-09-24 12:01:00
The Seed Memories Siam,20000,37,1-10,2023-09-24 12:01:00
THE ESSE Sukhumvit 36,50000,38.5,21-30,2023-09-24 12:01:00
Villa Rachatewi,35000,78,31-40,2023-09-24 12:01:00
Supalai Premier Ratchathewi,25000,72,31-40,2023-09-24 12:01:00
Life Sukhumvit 62,12000,25,11-20,2023-09-24 12:01:00
Villa Sathorn,14000,42,31-40,2023-09-24 12:01:00
THE ESSE Sukhumvit 36,58000,43.4,11-20,2023-09-24 12:01:00
Noble Refine,36000,53,11-20,2023-09-24 12:01:00
Zenith Place Sukhumvit 42,25000,64,1-10,2023-09-24 12:01:00
Downtown Forty Nine,27000,45,1-10,2023-09-24 12:01:00
Ivy Thonglor,40000,43,11-20,2023-09-24 12:01:00
Hyde Sukhumvit 11,55000,59,1-10,2023-09-24 12:01:00
The Diplomat 39,60000,54,1-10,2023-09-24 12:01:00
Cooper Siam,45000,62,11-20,2023-09-24 12:01:00
Conner Ratchathewi,40000,34.9,1-10,2023-09-24 12:01:00
Noble Reveal,35000,52.5,1-10,2023-09-24 12:01:00
THE LINE Sukhumvit 101,28000,50,11-20,2023-09-24 12:01:00
The Parkland Ratchada - Thapra,15000,48,1-10,2023-09-24 12:01:00
The Lumpini 24,30000,38,1-10,2023-09-24 12:01:00
IDEO Mobi Rangnam,23000,35,11-20,2023-09-24 12:01:00
The XXXIX by Sansiri,55000,51,11-20,2023-09-24 12:01:00
Bangkok Horizon Sathorn - Narathiwas,30000,60,21-30,2023-09-24 12:01:00
Via Botani,42000,46.7,1-10,2023-09-24 12:01:00
MODE Sukhumvit 61,40000,56,1-10,2023-09-24 12:01:00
The Waterford Park Sukhumvit 53,35000,126.7,1-10,2023-09-24 12:01:00
Rhythm Sukhumvit 36 - 38,35888,55,11-20,2023-09-24 12:01:00
59 Heritage,40000,82,1-10,2023-09-24 12:01:00
Supalai Place Sukhumvit 39,16000,53,11-20,2023-09-24 12:01:00
The Nest Ploenchit,25000,40,1-10,2023-09-24 12:01:00
The Lumpini 24,22900,31.5,31-40,2023-09-24 12:01:00
The Room Sukhumvit 62,20000,46,1-10,2023-09-24 12:01:00
The Clover Thonglor,20000,37,1-10,2023-09-24 12:01:00
Siri at Sukhumvit,32000,52,11-20,2023-09-24 12:01:00
PARK ORIGIN PHAYATHAI,34000,35,1-10,2023-09-24 12:01:00
PARK ORIGIN PHAYATHAI,30000,36,1-10,2023-09-24 12:01:00
Siri at Sukhumvit,35000,55,21-30,2023-09-24 12:01:00
The Lumpini 24,25000,29,31-40,2023-09-24 12:01:00
Quintara Phume Sukhumvit 39,60000,68.8,1-10,2023-09-24 12:01:00
Sky Walk Residence,18000,40,21-30,2023-09-24 12:01:00
Rhythm Sukhumvit 44/1,28000,45,11-20,2023-09-24 12:01:00
Q Chidlom - Phetchaburi,28000,45,11-20,2023-09-24 12:01:00
The Next Sukhumvit 52,42000,80,1-10,2023-09-24 12:01:00
The Lumpini 24,50000,61,31-40,2023-09-24 12:01:00
IDEO Mobi Rangnam,22000,35,11-20,2023-09-24 12:01:00
Noble RE D,23000,41,11-20,2023-09-24 12:01:00
The Diplomat 39,55000,54,11-20,2023-09-24 12:01:00
Ashton Morph 38,37000,52.5,11-20,2023-09-24 12:01:00
Nye by Sansiri,35000,68.2,21-30,2023-09-24 12:01:00
Rhythm Ekkamai,31000,35,21-30,2023-09-24 12:01:00
Sky Walk Residence,40000,54,21-30,2023-09-24 12:01:00
The Room Sukhumvit 40,29000,49,1-10,2023-09-24 12:01:00
Rhythm Sukhumvit 42,45000,57,11-20,2023-09-24 12:01:00
IDEO Sukhumvit 93,22000,35,1-10,2023-09-24 12:01:00
Sky Walk Residence,28000,40,31-40,2023-09-24 12:01:00
The Link Sukhumvit 50,19900,53,1-10,2023-09-24 12:01:00
Lumpini Ville Sukhumvit 77,8500,30,1-10,2023-09-24 12:01:00
Knightsbridge Prime Sathorn,36000,45,31-40,2023-09-24 12:01:00
Sense Phaholyothin,22000,60,11-20,2023-09-24 12:01:00
River Heaven,40000,111,11-20,2023-09-24 12:01:00
Hive Sathorn,30000,70,11-20,2023-09-24 12:01:00
THE LINE Jatujak - Mochit,50000,63,1-10,2023-09-24 12:01:00
Chewathai Interchange,30000,67,21-30,2023-09-24 12:01:00
Supalai Oriental Sukhumvit 39,50000,72.2,11-20,2023-09-24 12:01:00
Lumpini Place Bangna Km.3,8500,26,1-10,2023-09-24 12:01:00
The Room Sukhumvit 40,23000,42,1-10,2023-09-24 12:01:00
Life One Wireless,25000,35,11-20,2023-09-24 12:01:00
The Lofts Ekkamai,25000,28,11-20,2023-09-24 12:01:00
H Sukhumvit 43,32000,41,1-10,2023-09-24 12:01:00
The Waterford Park Sukhumvit 53,48000,146,1-10,2023-09-24 12:01:00
Serene Place,45000,86,1-10,2023-09-24 12:01:00
IDEO O2,16500,32.4,31-40,2023-09-24 12:01:00
Park 24,25000,28,1-10,2023-09-24 12:01:00
Thru Thonglor,30000,62.4,11-20,2023-09-24 12:01:00
Aspire Sathorn - Thapra,23000,48,21-30,2023-09-24 12:01:00
LAVIQ Sukhumvit 57,50000,45,11-20,2023-09-24 12:01:00
Knightsbridge Prime Sathorn,20000,24,21-30,2023-09-24 12:01:00
Blossom Condo @ Sathorn - Charoenrat,29000,62,1-10,2023-09-24 12:01:00
Ceil by Sansiri,30000,47,1-10,2023-09-24 12:01:00
DLV Thonglor 20,25000,59,1-10,2023-09-24 12:01:00
PARK ORIGIN PHAYATHAI,25000,24,11-20,2023-09-24 12:01:00
Rhythm Sukhumvit 36 - 38,15000,24,11-20,2023-09-24 12:01:00
The Lumpini 24,35000,38,11-20,2023-09-24 12:01:00
The Room Sukhumvit 62,25000,45,11-20,2023-09-24 12:01:00
Nara 9,28000,39,31-40,2023-09-24 12:01:00
Villa Sikhara,50000,98.6,1-10,2023-09-24 12:01:00
Quattro by Sansiri,50000,54,11-20,2023-09-24 12:01:00
Sathorn House,25000,54,21-30,2023-09-24 12:01:00
IDEO Sukhumvit 93,32000,52,21-30,2023-09-24 12:01:00
Rhythm Sukhumvit 44/1,35000,45,1-10,2023-09-24 12:01:00
Bright Wongwian Yai,35000,79.5,31-40,2023-09-24 12:01:00
Quattro by Sansiri,48000,55,1-10,2023-09-24 12:01:00
Residence 52,50000,99,1-10,2023-09-24 12:01:00
The Signature by URBANO,27000,49,11-20,2023-09-24 12:01:00
Q Chidlom - Phetchaburi,28000,35,21-30,2023-09-24 12:01:00
Life One Wireless,20000,28,31-40,2023-09-24 12:01:00
Siri at Sukhumvit,33000,52,1-10,2023-09-24 12:01:00
The Lumpini 24,32000,38,11-20,2023-09-24 12:01:00
The Lumpini 24,40000,55,1-10,2023-09-24 12:01:00
Noble Remix,23000,40,11-20,2023-09-24 12:01:00
NICHE MONO CHAROEN NAKORN,24000,34.6,31-40,2023-09-24 12:01:00
Thonglor Tower,35000,96,11-20,2023-09-24 12:01:00
Tidy Thonglor,22500,40,1-10,2023-09-24 12:01:00
THE LINE Jatujak - Mochit,20000,34.6,11-20,2023-09-24 12:01:00
Art @ Thonglor 25,20000,40,1-10,2023-09-24 12:01:00
The Waterford Park Sukhumvit 53,43000,139.9,21-30,2023-09-24 12:01:00
Supalai Premier Charoen Nakhon,20000,48,21-30,2023-09-24 12:01:00
Life One Wireless,26000,38,11-20,2023-09-24 12:01:00
Liv@49,35000,44,1-10,2023-09-24 12:01:00
The FINE Bangkok Thonglor - Ekamai,59000,56,21-30,2023-09-24 12:01:00
DOLCE LASALLE,12500,30,1-10,2023-09-24 12:01:00
Life Ladprao,21500,35,21-30,2023-09-24 12:01:00
Noble Ploenchit,55000,56,1-10,2023-09-24 12:01:00
Rhythm Ekkamai,60000,70,1-10,2023-09-24 12:01:00
Knightsbridge Prime Sathorn,35000,44,21-30,2023-09-24 12:01:00
Hyde Sukhumvit 11,55000,58,1-10,2023-09-24 12:01:00
Bright Sukhumvit 24,45000,88,11-20,2023-09-24 12:01:00
Condo One Sukhumvit 67,23000,52,1-10,2023-09-24 12:01:00
XT HUAIKWANG,19000,35,11-20,2023-09-24 12:01:00
Chapter Charoennakhon - Riverside,37000,49.1,11-20,2023-09-24 12:01:00
Hive Sukhumvit 65,16500,40.4,1-10,2023-09-24 12:01:00
Villa Rachatewi,25000,44,31-40,2023-09-24 12:01:00
Life @ Sukhumvit 65,22000,42,11-20,2023-09-24 12:01:00
Quintara Treehaus Sukhumvit 42,26500,40,1-10,2023-09-24 12:01:00
The Alcove 49,20000,48,1-10,2023-09-24 12:01:00
The Bangkok Sathorn - Taksin,30000,61,21-30,2023-09-24 12:01:00
The Waterford Park Sukhumvit 53,48000,156.8,1-10,2023-09-24 12:01:00
Vtara Sukhumvit 36,35000,58,1-10,2023-09-24 12:01:00
Residence 52,24000,48,1-10,2023-09-24 12:01:00
Rhythm Sukhumvit 36 - 38,24000,34,1-10,2023-09-24 12:01:00
Siamese Gioia,30000,42,1-10,2023-09-24 12:01:00
Rhythm Ekkamai,22000,30.1,11-20,2023-09-24 12:01:00
Centric Ratchayothin,24000,35,11-20,2023-09-24 12:01:00
THE LINE Jatujak - Mochit,25000,35,31-40,2023-09-24 12:01:00
The ESSE Asoke,45000,45,21-30,2023-09-24 12:01:00
The Room Sathorn - TanonPun,33000,50,11-20,2023-09-24 12:01:00
Equinox,15000,33,21-30,2023-09-24 12:01:00
Keyne,33000,55,21-30,2023-09-24 12:01:00
The Royal Place 2,30000,93,11-20,2023-09-24 12:01:00
Life One Wireless,20000,24,11-20,2023-09-24 12:01:00
IDEO Mobi Sukhumvit Eastgate,22000,30.5,21-30,2023-09-24 12:01:00
Metris Rama 9 - Ramkhamhaeng,16000,30,11-20,2023-09-24 12:01:00
DOLCE LASALLE,12000,30.6,1-10,2023-09-24 12:01:00
Sky Walk Residence,42000,61.5,31-40,2023-09-24 12:01:00
Q Chidlom - Phetchaburi,28000,45,11-20,2023-09-24 12:01:00
Noble Reveal,25000,46,21-30,2023-09-24 12:01:00
Ashton Chula - Silom,32000,34.5,11-20,2023-09-24 12:01:00
U Delight 2 @ Bang Sue Station,16000,49,11-20,2023-09-24 12:01:00
Silom Grand Terrace,35000,77,11-20,2023-09-24 12:01:00
Residence 52,19500,49,1-10,2023-09-24 12:01:00
Le Luk,45000,78.2,1-10,2023-09-24 12:01:00
Ashton Asoke,31000,31,21-30,2023-09-24 12:01:00
IDEO Blucove Sukhumvit,23000,61,1-10,2023-09-24 12:01:00
Ashton Asoke - Rama 9,50000,43,31-40,2023-09-24 12:01:00
Park 24,34000,57,21-30,2023-09-24 12:01:00
Sky Walk Residence,23000,52,21-30,2023-09-24 12:01:00
Mayfair Place,32000,64,1-10,2023-09-24 12:01:00
THE PRIVACY S101,12000,27.2,1-10,2023-09-24 12:01:00
Ivy Sathorn 10,30000,67.3,1-10,2023-09-24 12:01:00
The Niche Sukhumvit 49,25000,62,1-10,2023-09-24 12:01:00
Le Luk,20000,50,1-10,2023-09-24 12:01:00
Noble BE 33,40000,45,21-30,2023-09-24 12:01:00
Life One Wireless,28000,36,31-40,2023-09-24 12:01:00
Ashton Asoke,50000,47,11-20,2023-09-24 12:01:00
Supalai Elite Sathorn - Suanplu,45000,95,1-10,2023-09-24 12:01:00
Rhythm Sukhumvit 50,24000,45,31-40,2023-09-24 12:01:00
Wittayu Complex,30000,87,11-20,2023-09-24 12:01:00
IDEO Sukhumvit 93,21000,35,1-10,2023-09-24 12:01:00
Rhythm Sukhumvit 44/1,25000,35,11-20,2023-09-24 12:01:00
IDEO Q Ratchathewi,22000,34,21-30,2023-09-24 12:01:00
Keyne,33000,47,11-20,2023-09-24 12:01:00
