Property Name,Rent Prices,Room size,Floor,Date
Noble Revolve Ratchada,16000,26,31-40,2023-09-22 11:03:00
Whizdom Essence Sukhumvit,19000,35,1-10,2023-09-24 11:06:00
Sindhorn Residence,300000,197,1-10,2023-09-13 9:03:00
Feel Ratchada 36,6000,22,1-10,2023-09-15 9:03:00
Park 24,15000,29.5,21-30,2023-09-24 10:31:00
Life Asoke,20000,36,11-20,2022-06-09 14:03:00
Elio Del Moss Phaholyothin 34,14500,34.9,1-10,2023-09-24 10:24:00
The President Sukhumvit,17000,46,1-10,2023-09-23 12:11:00
Supalai Veranda Phasi Charoen Station,15000,48,11-20,2023-09-20 18:13:00
Wish @ Samyan,13500,35,11-20,2023-09-23 17:56:00
Park Village Onnut - Suvarnabhumi,30000,131,1-10,2023-09-19 14:39:00
THE BASE Phetchaburi - Thonglor,15000,29,11-20,2023-09-24 10:53:00
Whizdom Station Ratchada - Thapra,15000,32.5,31-40,2023-09-22 13:03:00
U Delight Residence Riverfront Rama 3,13000,34,11-20,2023-09-24 10:17:00
Chambers On Nut Station,18000,35,1-10,2023-06-09 21:48:00
Grene Don Mueang - Song Prapha,8500,25.1,1-10,2023-09-16 11:47:00
C Ekkamai,36000,65,31-40,2023-10-09 13:00:00
PARK ORIGIN PHAYATHAI,35000,33,1-10,2023-08-17 10:30:00
Nue Noble Srinakarin - Lasalle,8000,23,11-20,2023-09-14 13:17:00
THE BASE Phetchaburi - Thonglor,15000,30,11-20,2023-09-24 1:40:00
Supalai Veranda Phasi Charoen Station,8500,29,11-20,2023-09-23 14:47:00
Lumpini Ville Cultural Center,9500,31,1-10,2023-09-23 14:47:00
The Saint Residences,30000,54,31-40,2023-09-24 10:38:00
The LINE Asoke - Ratchada,30000,46.3,1-10,2023-09-13 12:34:00
Aspire Ratchada - Wongsawang,7500,27,11-20,2023-05-08 17:18:00
IDEO Rama 9 - Asoke,17000,27,11-20,2023-08-25 13:52:00
One9Five Asoke - Rama 9,18000,28,11-20,2023-09-24 0:31:00
Knightsbridge Space Rama 9,25000,45,11-20,2023-09-22 1:14:00
Le Luk,15000,38,1-10,2023-09-22 15:18:00
IDEO O2,12000,33,21-30,2023-02-09 0:41:00
The Strand Thonglor,99000,68,11-20,2023-09-20 0:01:00
Noble Recole,25900,36,1-10,2023-09-16 17:48:00
IDEO O2,9500,27,1-10,2023-09-17 11:17:00
Rhythm Sathorn,22000,39,11-20,2023-04-30 22:25:00
Metro Luxe Ratchada,14000,28.5,1-10,2022-10-18 13:26:00
THE BASE Phetchaburi - Thonglor,18000,33,11-20,2023-09-15 14:41:00
Life One Wireless,20000,28,31-40,2023-09-21 14:00:00
Regent Srinakarin Tower,5000,30,1-10,2023-09-13 10:21:00
Elements Srinakarin,9500,37,1-10,2023-09-16 20:03:00
The Base Sukhumvit 77,21000,59,31-40,2022-11-18 22:46:00
Parc Exo Kaset - Navamintra,7500,33.5,1-10,2023-02-21 13:02:00
59 Heritage,15000,35.7,11-20,2023-07-26 18:00:00
Belle Grand Rama 9,35000,78,21-30,2023-09-24 10:37:00
The Room Sathorn - TanonPun,42000,78,11-20,2023-10-09 11:00:00
Hive Taksin,12000,30,1-10,2023-09-21 14:14:00
Muniq Langsuan,55000,54,11-20,2023-09-16 17:49:00
THE BASE Phetchaburi - Thonglor,14000,28,1-10,2023-04-09 8:00:00
PARK ORIGIN PHROM PHONG,28000,33,1-10,2023-08-17 10:30:00
Niche Mono Ramkhamhaeng,9500,29,11-20,2023-07-09 14:52:00
Lumpini Condo Town Romklao - Suvarnabhumi,5700,22,1-10,2023-09-15 20:49:00
Lumpini Place Rama IX - Ratchada,12000,34,1-10,2023-08-09 18:00:00
Aspire Rama 4,10000,28,11-20,2023-07-26 18:00:00
Metro Luxe Rama 4,11000,34,1-10,2021-06-30 12:36:00
Lumpini Suite Din Daeng - Ratchaprarop,15000,29.5,1-10,2023-09-22 17:59:00
The Collect Ratchada 32,10000,29,1-10,2023-09-24 14:06:00
IDEO Charan 70,13000,32,11-20,2023-09-24 10:38:00
Chateau In Town Sukhumvit 62/1-2,16000,50,1-10,2023-08-31 22:00:00
U Delight Residence Riverfront Rama 3,30000,56,21-30,2023-09-24 10:17:00
Esta Phahol-Sapanmai,10000,31,1-10,2023-09-23 8:19:00
Nue Noble Srinakarin - Lasalle,9500,30,11-20,2023-10-09 17:59:00
The Link Sukhumvit 50,10000,33,1-10,2023-03-08 18:35:00
IDEO O2,24000,53,11-20,2023-01-09 12:48:00
Regent Home 4,6500,30,1-10,2023-09-09 15:53:00
Rhythm Sathorn - Narathiwas,35000,60.7,21-30,2023-12-09 9:44:00
IDEO O2,10000,33,1-10,2023-09-21 18:42:00
The Privacy Rama 9,9500,24,11-20,2023-02-09 17:59:00
Supalai City Resort Rama 8,10000,34.5,11-20,2023-05-09 10:47:00
Smart Condo Watcharapol,6500,30,1-10,2023-09-17 17:59:00
Whizdom Connect Sukhumvit,16000,35,31-40,2023-06-15 15:26:00
THE PRIVACY S101,17000,35,1-10,2023-08-25 21:00:00
Life One Wireless,20000,35,1-10,2023-09-24 10:37:00
IDEO Mobi Sukhumvit 40,15000,35,1-10,2023-07-09 14:52:00
Fuse Sense' Bangkae,12500,46.3,1-10,2023-09-23 9:45:00
Life Asoke - Rama 9,17000,28,21-30,2023-09-23 13:00:00
The Privacy Jatujak,14000,27,11-20,2023-09-24 7:34:00
Metro Sky Bangsue - Prachachuen,12000,38,11-20,2020-01-12 15:20:00
A Space ID Asoke - Ratchada,14000,30,11-20,2023-09-24 7:34:00
IDEO Sathorn - Thapra,18000,46,21-30,2023-09-24 10:36:00
C Ekkamai,16000,35,31-40,2023-10-09 12:58:00
Life Ladprao,17000,35.5,41-50,2023-05-09 18:00:00
15 Sukhumvit Residences,55000,101.8,11-20,2023-02-09 20:00:00
Rhythm Sathorn,17000,35,1-10,2023-09-23 11:40:00
Life Asoke Hype,16000,26.5,1-10,2023-09-15 6:00:00
Lumpini Ville On Nut - Lat Krabang,7200,26,1-10,2023-08-18 15:44:00
IDEO Mobi Bangsue Grand Interchange,10000,25,21-30,2023-09-23 14:19:00
Life Asoke Hype,17000,31,21-30,2023-09-24 7:34:00
XT HUAIKWANG,33000,59,31-40,2023-09-24 7:34:00
The Privacy Jatujak,30000,53,11-20,2023-09-24 10:38:00
Knightsbridge Prime Onnut,20000,33,21-30,2023-09-24 10:51:00
Life Asoke Hype,20000,32.3,21-30,2023-09-18 17:53:00
The Saint Residences,18000,40,1-10,2023-09-18 18:13:00
Brown Ratchada - Huaikwang,15000,35,1-10,2023-09-24 7:34:00
U Delight Residence Riverfront Rama 3,12500,34,11-20,2023-09-24 10:16:00
C Ekkamai,16000,30,31-40,2023-01-09 23:04:00
Star View,45000,82,31-40,2023-09-24 10:17:00
Nye by Sansiri,18000,36.5,21-30,2023-09-21 19:46:00
Bangkok Horizon Phetkasem,8000,31,11-20,2023-03-09 15:00:00
The MOST Itsaraphap,13000,30,1-10,2023-09-24 10:38:00
Lumpini Condo Town Ramintra - Laksi,6500,28,1-10,2023-09-19 23:02:00
Diamond Ratchada,12900,36,11-20,2023-08-19 8:48:00
Chambers Cher Ratchada - Ramintra,15500,43,1-10,2023-07-09 11:17:00
Chewathai Kaset - Nawamin,12500,28,11-20,2023-09-24 11:36:00
The Parkland Srinakarin,10000,36,11-20,2023-09-22 16:08:00
UNiO Sukhumvit 72 Phase 2,13000,41,1-10,2023-04-06 21:59:00
Lumpini Place Borom Ratchachonni - Pinklao,8500,28,11-20,2023-09-17 7:07:00
59 Heritage,30000,66.2,11-20,2023-07-26 18:00:00
Tree Condo Sukhumvit 50,15000,36,1-10,2023-08-09 18:00:00
The Waterford Sukhumvit 50,15000,50,1-10,2023-09-21 13:38:00
Lumpini Ville Sukhumvit 77-2,7700,23,1-10,2023-08-16 14:33:00
Lumpini Ville Phatthanakan - New Phetchaburi,6900,26,1-10,2023-06-01 12:01:00
Niche Mono Ramkhamhaeng,12000,36,11-20,2023-07-09 14:52:00
Rich Park @ Triple Station,13000,28,31-40,2023-09-24 0:38:00
IDEO Charan 70,30000,51,31-40,2023-09-24 10:38:00
The Tempo Grand Sathorn - Wutthakat,12000,30,1-10,2023-09-21 19:09:00
Supalai Veranda Rama 9,16000,38.5,21-30,2023-09-22 18:17:00
Noble Ploenchit,30000,49.3,11-20,2023-09-24 10:31:00
The Privacy Rama 9,16500,34,11-20,2023-09-24 10:38:00
Lumpini Center Sukhumvit 77,13500,60,1-10,2023-09-24 10:51:00
IDEO Mix Sukhumvit 103,10000,32,1-10,2023-09-21 17:29:00
IDEO Charan 70,22000,34,31-40,2023-09-24 10:37:00
U Vibha-Ladprao,14500,52,1-10,2023-09-21 10:01:00
Nye by Sansiri,12000,35.5,1-10,2022-08-19 15:28:00
C Ekkamai,15000,35,31-40,2023-08-09 11:11:00
One9Five Asoke - Rama 9,16000,28,21-30,2023-09-24 7:34:00
T.C. Green,13000,40,11-20,2023-09-23 12:55:00
UNiO Sukhumvit 72,6500,23,1-10,2023-09-18 9:56:00
The Esse at Singha Complex,30000,36,1-10,2023-09-22 13:09:00
Supalai Oriental Sukhumvit 39,23000,47,11-20,2023-09-17 23:01:00
Chapter One Eco Ratchada - Huai Khwang,11000,30,11-20,2023-09-24 7:34:00
Brix Condominium,13000,28,21-30,2023-09-20 12:00:00
Metro Luxe Rama 4,11500,28,1-10,2023-09-22 17:31:00
Esta Phahol-Sapanmai,10000,31,1-10,2023-09-24 0:17:00
IDEO Sathorn - Thapra,17000,50,21-30,2023-09-21 12:55:00
Metro Luxe Ratchada,12000,28,1-10,2021-02-06 17:41:00
THE MUVE Bangna,9500,24.7,1-10,2023-09-08 7:58:00
Chapter One Eco Ratchada - Huai Khwang,15000,30,11-20,2023-09-15 6:00:00
The Base Garden Rama 9,15000,31.1,1-10,2023-09-24 11:36:00
Artisan Ratchada,13000,38,21-30,2023-09-24 7:34:00
Atmoz Ratchada - Huaikwang,12000,28,1-10,2023-09-21 14:34:00
The Lake Kallapraphruk - Wutthakat,11000,44,1-10,2023-09-19 13:24:00
The Link Sukhumvit 50,10000,31.4,1-10,2023-07-26 18:00:00
Niche Pride Taopoon - Interchange,13000,28,31-40,2023-09-24 10:38:00
59 Heritage,50000,120,1-10,2023-07-26 18:00:00
Chapter Charoennakhon - Riverside,70000,78,31-40,2023-08-19 8:48:00
Rich Park @ Triple Station,12000,30,31-40,2023-09-22 15:31:00
The Rich Rama 9 - Srinakarin,13000,27,21-30,2023-09-22 15:31:00
Lumpini Place Rama 3 - Riverine,8500,24,1-10,2023-09-20 20:11:00
MARU LADPRAO 15,35000,54,11-20,2023-09-21 10:19:00
Metro Sky Bangsue - Prachachuen,17000,39,11-20,2023-09-22 15:31:00
IDEO Tha Phra Interchange,10500,27.7,1-10,2023-09-24 13:39:00
IDEO Sukhumvit 93,13000,28,11-20,2023-08-09 14:38:00
Belle Grand Rama 9,20000,49,11-20,2023-09-24 10:31:00
Life One Wireless,15500,28,31-40,2023-05-13 13:19:00
The Address Sukhumvit 28,45000,70,21-30,2023-08-09 18:00:00
XT EKKAMAI,18000,30,1-10,2023-09-22 12:19:00
Ashton Chula - Silom,21000,25,31-40,2023-04-08 14:39:00
IDEO Q Chula - Samyan,16000,22,11-20,2023-09-24 14:09:00
Aspire Asoke - Ratchada,23000,50,1-10,2023-09-20 11:01:00
Rhythm Asoke ll,18000,28,11-20,2023-11-09 15:08:00
Ashton Chula - Silom,22000,24.5,1-10,2023-09-22 13:38:00
THE LINE Jatujak - Mochit,38000,57,31-40,2023-12-09 9:44:00
Lumpini Ville Ramkhamhaeng 26,8499,32,1-10,2023-09-24 11:30:00
Aspire Sathorn - Ratchapruek,13500,32,11-20,2023-09-24 10:38:00
Knightsbridge Prime Onnut,14000,23.5,31-40,2023-09-19 23:54:00
U @ Huamak Station,7000,30,1-10,2023-09-20 1:03:00
Aspire Sathorn - Taksin,13000,46,11-20,2023-09-24 10:37:00
Artemis Sukhumvit 77,12000,30,11-20,2023-09-24 10:51:00
Chapter Charoennakhon - Riverside,16000,25,31-40,2023-09-22 11:24:00
Regent Home Bangson Phase 28,7000,28,1-10,2023-09-22 13:07:00
Lumpini Park Rama 9 - Ratchada,10000,23,1-10,2023-08-22 9:55:00
PARK ORIGIN PHROM PHONG,20000,33,31-40,2023-09-18 11:30:00
The Lumpini 24,22000,27,21-30,2023-08-19 8:48:00
Niche Mono Ramkhamhaeng,13500,38,21-30,2023-07-09 14:52:00
Metro Sky Bangsue - Prachachuen,14000,43,21-30,2023-04-30 21:00:00
NOBLE STATE 39,26500,30,11-20,2023-09-24 7:34:00
IDEO Tha Phra Interchange,14000,34.5,11-20,2023-09-22 20:41:00
Noble Revolve Ratchada 2,16000,26,31-40,2023-09-23 10:17:00
The Saint Residences,13500,30,21-30,2023-02-06 9:08:00
IDEO Mobi Rama 9,25000,55,11-20,2023-09-21 14:14:00
Sense Sukhumvit,13000,45,1-10,2023-09-24 14:43:00
Metro Sky Sathorn - Wutthakat,9500,27,11-20,2023-09-22 15:31:00
IDEO Tha Phra Interchange,11500,28,11-20,2023-09-24 13:40:00
Life Ladprao,28000,52.5,11-20,2023-03-18 12:58:00
DEN Vibhavadi,6000,28.8,1-10,2023-09-22 17:59:00
KnightsBridge Collage Sukhumvit 107,9000,25,21-30,2023-08-19 10:12:00
Artisan Ratchada,12000,33,21-30,2023-09-24 7:34:00
Life Sathorn Sierra,27000,58,1-10,2023-09-24 10:37:00
Chewathai Hallmark Ladprao - Chokchai 4,11000,26.3,1-10,2023-09-22 15:31:00
